contract_id,attachment_count,source_pdfs,source_txts,merged_txt,attachment_errors
11818195,1,11818195.pdf,11818195.txt,11818195.txt,
11818197,1,11818197.pdf,11818197.txt,11818197.txt,
11818200,1,11818200.pdf,11818200.txt,11818200.txt,
11818202,1,11818202.pdf,11818202.txt,11818202.txt,
11818203,1,11818203.pdf,11818203.txt,11818203.txt,
11818206,2,11818206_1.pdf;11818206_2.pdf,11818206_1.txt;11818206_2.txt,11818206.txt,
11818207,1,11818207.pdf,11818207.txt,11818207.txt,
11818209,1,11818209.pdf,11818209.txt,11818209.txt,
11818211,1,11818211.pdf,11818211.txt,11818211.txt,
11818215,1,11818215.pdf,11818215.txt,11818215.txt,
11818221,1,11818221.pdf,11818221.txt,11818221.txt,
11818223,2,11818223_1.pdf;11818223_2.pdf,11818223_1.txt;11818223_2.txt,11818223.txt,
11818225,1,11818225.pdf,11818225.txt,11818225.txt,
11818227,1,11818227.pdf,11818227.txt,11818227.txt,
11818229,1,11818229.pdf,11818229.txt,11818229.txt,
11818231,1,11818231.pdf,11818231.txt,11818231.txt,
11818233,1,11818233.pdf,11818233.txt,11818233.txt,
11818235,1,11818235.pdf,11818235.txt,11818235.txt,
11818236,1,11818236.pdf,11818236.txt,11818236.txt,
11818238,2,11818238_1.pdf;11818238_2.pdf,11818238_1.txt;11818238_2.txt,11818238.txt,
11818240,2,11818240_1.pdf;11818240_2.pdf,11818240_1.txt;11818240_2.txt,11818240.txt,
11818243,1,11818243.pdf,11818243.txt,11818243.txt,
11818245,6,11818245_1.pdf;11818245_2.pdf;11818245_3.pdf;11818245_4.pdf;11818245_5.pdf;11818245_6.pdf,11818245_1.txt;11818245_2.txt;11818245_3.txt;11818245_4.txt;11818245_5.txt;11818245_6.txt,11818245.txt,
11818246,2,11818246_1.pdf;11818246_2.pdf,11818246_1.txt;11818246_2.txt,11818246.txt,
11818251,1,11818251.pdf,11818251.txt,11818251.txt,
11818257,1,11818257.pdf,11818257.txt,11818257.txt,
11818258,1,11818258.pdf,11818258.txt,11818258.txt,
11818260,1,11818260.pdf,11818260.txt,11818260.txt,
11818261,1,11818261.pdf,11818261.txt,11818261.txt,
11818262,1,11818262.pdf,11818262.txt,11818262.txt,
11818265,1,11818265.pdf,11818265.txt,11818265.txt,
11818269,1,11818269.pdf,11818269.txt,11818269.txt,
11818271,1,11818271.pdf,11818271.txt,11818271.txt,
11818273,1,11818273.pdf,11818273.txt,11818273.txt,
11818275,1,11818275.pdf,11818275.txt,11818275.txt,
11818277,2,11818277_1.pdf;11818277_2.pdf,11818277_1.txt;11818277_2.txt,11818277.txt,
11818278,2,11818278_1.pdf;11818278_2.pdf,11818278_1.txt;11818278_2.txt,11818278.txt,
11818281,1,11818281.pdf,11818281.txt,11818281.txt,
11818282,2,11818282_1.pdf;11818282_2.pdf,11818282_1.txt;11818282_2.txt,11818282.txt,
11818283,1,11818283.pdf,11818283.txt,11818283.txt,
11818285,2,11818285_1.pdf;11818285_2.pdf,11818285_1.txt;11818285_2.txt,11818285.txt,
11818289,1,11818289.pdf,11818289.txt,11818289.txt,
11818291,1,11818291.pdf,11818291.txt,11818291.txt,
11818293,1,11818293.pdf,11818293.txt,11818293.txt,
11818295,1,11818295.pdf,11818295.txt,11818295.txt,
11818297,2,11818297_1.pdf;11818297_2.pdf,11818297_1.txt;11818297_2.txt,11818297.txt,
